
51.28|2.14|28.85|185|
50.51|2.14|30.35|195|
53.57|2.24|30.49|158|
46.70|1.97|34.09|181|
61.14|2.53|31.04|193|
58.79|2.50|36.50|191|
55.56|2.36|30.56|185|
51.23|2.22|32.17|196|
53.81|2.27|26.24|196|
57.95|2.41|31.31|177|
61.00|2.61|40.62|196|
47.76|2.05|31.36|186|
63.90|2.80|197|
56.57|2.40|30.63|186|
59.90|2.53|30.53|186|
46.97|1.99|32.45|194|
52.53|2.23|32.65|184|
44.90|1.88|30.73|192|
41.12|1.73|47.84|190|
50.52|2.07|34.86|188|
68.97|2.99|34.21|199|
63.32|2.70|30.38|195|
59.49|2.49|33.15|187|
46.50|1.99|28.00|201|
66.49|2.76|30.62|189|
53.06|2.23|30.88|190|
52.94|2.31|31.45|170|
62.50|2.67|28.93|199|
41.50|1.77|36.79|194|
39.51|1.73|647.78|204|
63.73|2.63|31.12|192|
67.16|2.89|38.10|199|
46.11|1.90|30.63|192|
47.21|1.98|26.38|195|
59.69|2.50|36.22|197|
64.10|2.67|26.15|197|
58.88|2.49|30.31|192|
61.54|2.58|31.42|196|
58.21|2.50|30.63|196|
58.29|2.49|31.86|200|
