48.76|2.09|31.30|2307|
58.76|2.44|31.48|2351|
45.37|1.99|27.24|2122|
46.50|1.99|27.39|2181|
53.27|2.26|28.01|2201|
37.76|1.58|24.68|2074|
53.73|2.32|30.65|2272|
44.72|1.91|31.35|2128|
50.49|2.22|31.33|2247|
47.32|2.07|36.68|2361|

56.92|2.37|32.34|2449|
47.50|2.03|31.29|2286|
51.79|2.16|31.69|2224|
42.64|1.79|32.40|2340|
58.00|2.48|31.73|2446|
59.39|2.50|28.12|2232|
56.92|2.38|29.79|2500|
55.67|2.42|31.29|2444|
45.64|1.90|35.80|2370|
50.99|2.20|29.27|2405|
53.00|2.27|29.13|2516|
57.14|2.48|31.32|2576|
51.00|2.19|31.08|2540|
56.63|2.38|31.93|2550|
50.00|2.14|31.13|2636|
62.19|2.67|27.75|2477|
54.46|2.35|31.60|2721|
52.82|2.21|31.45|2499|
37.56|1.58|54.71|2380|
47.24|2.01|35.19|2578|
55.38|2.31|31.11|3525|
55.67|2.32|30.17|4108|
50.79|2.06|36.28|2910|
59.00|2.52|29.82|3279|
43.81|1.82|28.48|2745|
55.39|2.41|32.74|3678|
54.00|2.31|31.59|3122|
52.11|2.12|28.86|3462|
47.72|2.01|32.68|3469|
46.46|1.97|31.60|4251|
48.24|2.05|31.97|4061|
56.28|2.40|32.06|3306|
55.44|2.29|31.89|5178|
52.26|2.23|28.04|3926|
47.67|1.97|34.13|4317|
59.90|2.52|27.11|3383|
46.00|1.97|31.30|4091|
55.39|2.41|31.19|3950|
60.20|2.59|31.53|3194|
52.04|2.18|29.06|3459|
44.66|1.97|32.09|3879|
52.48|2.26|26.71|3429|
54.04|2.29|31.69|4024|
50.98|2.22|31.86|3256|
59.90|2.58|31.32|3988|
45.89|2.03|31.99|3228|
56.78|2.41|29.80|3641|
57.21|2.46|31.48|4770|
51.50|2.21|31.55|3754|
49.50|2.14|31.57|3214|
